parcel_id,season,year,crop_type,cultivated_area_acres,production_kg,yield_kg_per_acre,market_price_per_kg,gross_income_rs,yield_category
AP_ANP_00015,Summer,2025,Groundnut,4.55,5756.7,1265.2,58,333888.6,
AP_ANP_00016,Kharif,2025,Pearl Millet,7.3,4643.5,636.1,40,185740.0,
AP_ANP_00016,Rabi,2025,Bengal Gram,5.36,2145.6,400.3,65,139464.0,
AP_ANP_00016,Summer,2025,Maize,3.14,6624.1,2109.6,20,132482.0,
AP_ANP_00017,Kharif,2025,Cotton,4.14,4204.2,1015.5,70,294294.0,
AP_ANP_00017,Rabi,2025,Sunflower,2.52,1690.7,670.9,52,87916.4,
AP_ANP_00017,Summer,2025,Groundnut,1.76,1501.5,853.1,58,87087.0,
AP_ANP_00018,Kharif,2025,Groundnut,0.99,868.9,877.7,58,50396.2,
AP_ANP_00018,Rabi,2025,Maize,2.35,6797.6,2892.6,20,135952.0,
AP_ANP_00018,Summer,2025,Groundnut,5.84,4693.6,803.7,58,272228.8,
AP_ANP_00019,Kharif,2025,Groundnut,7.82,7723.8,987.7,58,447980.4,
AP_ANP_00019,Rabi,2025,Sunflower,0.75,556.1,741.5,52,28917.2,
AP_ANP_00019,Summer,2025,Groundnut,5.26,6188.4,1176.5,58,358927.2,
AP_ANP_00020,Kharif,2025,Paddy,7.89,16875.9,2138.9,22,371269.8,
AP_ANP_00020,Rabi,2025,Maize,5.54,16748.5,3023.2,20,334970.0,
AP_ANP_00020,Summer,2025,Sunflower,2.28,2302.3,1009.8,52,119719.6,
AP_ANP_00021,Kharif,2025,Paddy,5.25,13388.0,2550.1,22,294536.0,
AP_ANP_00021,Rabi,2025,Maize,1.18,3741.3,3170.6,20,74826.0,
AP_ANP_00021,Summer,2025,Sunflower,2.91,1835.0,630.6,52,95420.0,
AP_ANP_00022,Kharif,2025,Paddy,2.94,6198.4,2108.3,22,136364.8,
AP_ANP_00022,Rabi,2025,Sunflower,5.83,6218.9,1066.7,52,323382.8,
AP_ANP_00022,Summer,2025,Vegetables,3.11,10825.6,3480.9,18,194860.8,
AP_ANP_00023,Kharif,2025,Groundnut,3.4,4609.4,1355.7,58,267345.2,
AP_ANP_00023,Rabi,2025,Bengal Gram,1.53,925.0,604.6,65,60125.0,
AP_ANP_00023,Summer,2025,Vegetables,1.35,10291.7,7623.5,18,185250.6,
AP_ANP_00024,Kharif,2025,Cotton,2.21,1558.0,705.0,70,109060.0,
AP_ANP_00024,Rabi,2025,Groundnut,7.87,8354.8,1061.6,58,484578.4,
AP_ANP_00024,Summer,2025,Maize,2.46,8591.5,3492.5,20,171830.0,
AP_ANP_00025,Kharif,2025,Cotton,7.25,7104.3,979.9,70,497301.0,
AP_ANP_00025,Rabi,2025,Maize,3.04,6683.1,2198.4,20,133662.0,
AP_ANP_00025,Summer,2025,Groundnut,5.94,7888.3,1328.0,58,457521.4,
AP_ANP_00026,Kharif,2025,Cotton,6.88,7990.4,1161.4,70,559328.0,
AP_ANP_00026,Rabi,2025,Bengal Gram,6.39,5120.9,801.4,65,332858.5,
AP_ANP_00026,Summer,2025,Vegetables,4.86,23626.4,4861.4,18,425275.2,
AP_ANP_00027,Kharif,2025,Groundnut,0.54,438.8,812.6,58,25450.4,
AP_ANP_00027,Rabi,2025,Sunflower,4.62,4547.5,984.3,52,236470.0,
AP_ANP_00027,Summer,2025,Groundnut,5.39,4619.2,857.0,58,267913.6,
AP_ANP_00028,Kharif,2025,Groundnut,4.2,3465.8,825.2,58,201016.4,
AP_ANP_00028,Rabi,2025,Maize,3.25,9712.0,2988.3,20,194240.0,
AP_ANP_00028,Summer,2025,Groundnut,5.91,5411.2,915.6,58,313849.6,
AP_ANP_00029,Kharif,2025,Pearl Millet,5.27,3294.8,625.2,40,131792.0,
AP_ANP_00029,Rabi,2025,Sunflower,4.92,5831.2,1185.2,52,303222.4,
AP_ANP_00029,Summer,2025,Maize,4.15,13745.6,3312.2,20,274912.0,
AP_ANP_00030,Kharif,2025,Foxtail Millet,4.27,2939.9,688.5,45,132295.5,
AP_ANP_00030,Rabi,2025,Groundnut,4.19,3505.8,836.7,58,203336.4,
AP_ANP_00030,Summer,2025,Groundnut,5.92,5307.3,896.5,58,307823.4,
AP_ANP_00031,Kharif,2025,Foxtail Millet,1.83,1592.5,870.2,45,71662.5,
AP_ANP_00031,Rabi,2025,Bengal Gram,7.65,7259.1,948.9,65,471841.5,
AP_ANP_00031,Summer,2025,Vegetables,3.28,10093.5,3077.3,18,181683.0,
AP_ANP_00032,Kharif,2025,Paddy,7.75,24405.5,3149.1,22,536921.0,
AP_ANP_00032,Rabi,2025,Bengal Gram,6.9,3979.2,576.7,65,258648.0,
AP_ANP_00032,Summer,2025,Sunflower,3.39,3714.8,1095.8,52,193169.6,
AP_ANP_00033,Kharif,2025,Foxtail Millet,3.46,2844.5,822.1,45,128002.5,
AP_ANP_00033,Rabi,2025,Groundnut,7.48,5604.8,749.3,58,325078.4,
AP_ANP_00033,Summer,2025,Groundnut,2.07,2421.5,1169.8,58,140447.0,
AP_ANP_00034,Kharif,2025,Red Gram,7.08,4746.4,670.4,82,389204.8,
AP_ANP_00034,Rabi,2025,Sunflower,5.73,5682.4,991.7,52,295484.8,
AP_ANP_00034,Summer,2025,Sunflower,3.2,2257.6,705.5,52,117395.2,
AP_ANP_00035,Kharif,2025,Red Gram,7.0,5296.2,756.6,82,434288.4,
AP_ANP_00035,Rabi,2025,Sunflower,4.34,3693.8,851.1,52,192077.6,
AP_ANP_00035,Summer,2025,Sunflower,6.49,6197.9,955.0,52,322290.8,
AP_ANP_00036,Kharif,2025,Cotton,3.03,2500.7,825.3,70,175049.0,
AP_ANP_00036,Rabi,2025,Maize,1.2,3187.9,2656.6,20,63758.0,
AP_ANP_00036,Summer,2025,Maize,0.77,1872.0,2431.2,20,37440.0,
AP_ANP_00037,Kharif,2025,Cotton,4.93,3048.2,618.3,70,213374.0,
AP_ANP_00037,Rabi,2025,Sorghum,0.78,981.3,1258.1,28,27476.4,
AP_ANP_00037,Summer,2025,Sunflower,3.2,1884.5,588.9,52,97994.0,
AP_ANP_00038,Kharif,2025,Groundnut,2.12,2408.3,1136.0,58,139681.4,
AP_ANP_00038,Rabi,2025,Sorghum,1.14,731.1,641.3,28,20470.8,
AP_ANP_00038,Summer,2025,Vegetables,4.49,25607.4,5703.2,18,460933.2,
AP_ANP_00039,Kharif,2025,Pearl Millet,4.37,2890.8,661.5,40,115632.0,
AP_ANP_00039,Rabi,2025,Sorghum,6.46,5275.9,816.7,28,147725.2,
AP_ANP_00039,Summer,2025,Sunflower,3.79,2103.1,554.9,52,109361.2,
AP_ANP_00040,Kharif,2025,Paddy,1.11,2663.6,2399.6,22,58599.2,
AP_ANP_00040,Rabi,2025,Groundnut,5.66,4192.4,740.7,58,243159.2,
AP_ANP_00040,Summer,2025,Groundnut,7.36,7430.7,1009.6,58,430980.6,
AP_ANP_00041,Kharif,2025,Cotton,7.51,7382.3,983.0,70,516761.0,
AP_ANP_00041,Rabi,2025,Bengal Gram,4.38,3479.0,794.3,65,226135.0,
AP_ANP_00041,Summer,2025,Vegetables,3.77,25071.3,6650.2,18,451283.4,
AP_ANP_00042,Kharif,2025,Foxtail Millet,3.17,2469.1,778.9,45,111109.5,
AP_ANP_00042,Rabi,2025,Maize,0.61,1056.6,1732.1,20,21132.0,
AP_ANP_00042,Summer,2025,Sunflower,0.85,449.2,528.5,52,23358.4,
AP_ANP_00043,Kharif,2025,Cotton,4.06,2674.3,658.7,70,187201.0,
AP_ANP_00043,Rabi,2025,Maize,4.19,10252.5,2446.9,20,205050.0,
AP_ANP_00043,Summer,2025,Groundnut,1.8,1806.7,1003.7,58,104788.6,
AP_ANP_00044,Kharif,2025,Red Gram,5.26,1697.4,322.7,82,139186.8,
AP_ANP_00044,Rabi,2025,Groundnut,3.31,3767.1,1138.1,58,218491.8,
AP_ANP_00044,Summer,2025,Sunflower,4.27,4694.9,1099.5,52,244134.8,
AP_ANP_00045,Kharif,2025,Paddy,5.12,15981.6,3121.4,22,351595.2,
AP_ANP_00045,Rabi,2025,Sorghum,7.58,9807.0,1293.8,28,274596.0,
AP_ANP_00045,Summer,2025,Vegetables,5.27,36914.8,7004.7,18,664466.4,
AP_ANP_00046,Kharif,2025,Pearl Millet,5.32,3878.8,729.1,40,155152.0,
AP_ANP_00046,Rabi,2025,Groundnut,4.59,6237.8,1359.0,58,361792.4,
AP_ANP_00046,Summer,2025,Maize,3.4,11636.2,3422.4,20,232724.0,
AP_ANP_00047,Kharif,2025,Red Gram,2.55,1038.6,407.3,82,85165.2,
AP_ANP_00047,Rabi,2025,Sunflower,3.33,1755.9,527.3,52,91306.8,
AP_ANP_00047,Summer,2025,Vegetables,5.14,24069.6,4682.8,18,433252.8,
AP_ANP_00048,Kharif,2025,Red Gram,5.61,2638.4,470.3,82,216348.8,
AP_ANP_00048,Rabi,2025,Sorghum,2.46,2452.1,996.8,28,68658.8,
AP_ANP_00048,Summer,2025,Sunflower,5.7,4239.7,743.8,52,220464.4,
AP_ANP_00049,Kharif,2025,Foxtail Millet,6.01,4818.2,801.7,45,216819.0,
AP_ANP_00049,Rabi,2025,Sorghum,2.62,1944.0,742.0,28,54432.0,
AP_ANP_00049,Summer,2025,Vegetables,6.13,43119.6,7034.2,18,776152.8,
AP_ANP_00050,Kharif,2025,Groundnut,1.46,1277.5,875.0,58,74095.0,
AP_ANP_00050,Rabi,2025,Sunflower,4.85,5368.9,1107.0,52,279182.8,
AP_ANP_00050,Summer,2025,Vegetables,4.71,19749.0,4193.0,18,355482.0,
AP_ANP_00051,Kharif,2025,Paddy,1.27,3890.8,3063.6,22,85597.6,
AP_ANP_00051,Rabi,2025,Bengal Gram,4.29,3843.4,895.9,65,249821.0,
AP_ANP_00051,Summer,2025,Maize,2.9,9543.9,3291.0,20,190878.0,
AP_ANP_00052,Kharif,2025,Groundnut,7.69,9943.2,1293.0,58,576705.6,
AP_ANP_00052,Rabi,2025,Maize,3.16,10787.0,3413.6,20,215740.0,
AP_ANP_00052,Summer,2025,Vegetables,5.58,30202.3,5412.6,18,543641.4,
AP_ANP_00053,Kharif,2025,Red Gram,2.7,1253.6,464.3,82,102795.2,
AP_ANP_00053,Rabi,2025,Sorghum,5.54,6658.5,1201.9,28,186438.0,
AP_ANP_00053,Summer,2025,Groundnut,6.44,8067.4,1252.7,58,467909.2,
AP_ANP_00054,Kharif,2025,Paddy,7.81,24947.5,3194.3,22,548845.0,
AP_ANP_00054,Rabi,2025,Sorghum,0.92,1094.4,1189.6,28,30643.2,
AP_ANP_00054,Summer,2025,Sunflower,4.59,4562.9,994.1,52,237270.8,
AP_ANP_00055,Kharif,2025,Pearl Millet,6.78,6328.5,933.4,40,253140.0,
AP_ANP_00055,Rabi,2025,Bengal Gram,6.79,4452.2,655.7,65,289393.0,
AP_ANP_00055,Summer,2025,Sunflower,2.17,1687.6,777.7,52,87755.2,
AP_ANP_00056,Kharif,2025,Foxtail Millet,1.11,491.1,442.4,45,22099.5,
AP_ANP_00056,Rabi,2025,Groundnut,7.9,7599.8,962.0,58,440788.4,
AP_ANP_00056,Summer,2025,Sunflower,3.28,3506.3,1069.0,52,182327.6,
AP_ANP_00057,Kharif,2025,Groundnut,3.13,3742.5,1195.7,58,217065.0,
AP_ANP_00057,Rabi,2025,Sorghum,4.11,3708.9,902.4,28,103849.2,
AP_ANP_00057,Summer,2025,Vegetables,5.79,24570.4,4243.6,18,442267.2,
AP_ANP_00058,Kharif,2025,Foxtail Millet,0.59,374.2,634.3,45,16839.0,
AP_ANP_00058,Rabi,2025,Sunflower,0.92,536.5,583.2,52,27898.0,
AP_ANP_00058,Summer,2025,Groundnut,1.38,1593.1,1154.4,58,92399.8,
AP_ANP_00059,Kharif,2025,Groundnut,2.28,2234.9,980.2,58,129624.2,
AP_ANP_00059,Rabi,2025,Sunflower,4.08,2276.6,558.0,52,118383.2,
AP_ANP_00059,Summer,2025,Groundnut,4.46,4484.1,1005.4,58,260077.8,
AP_ANP_00060,Kharif,2025,Red Gram,7.77,2498.8,321.6,82,204901.6,
AP_ANP_00060,Rabi,2025,Maize,7.18,18347.8,2555.4,20,366956.0,
AP_ANP_00060,Summer,2025,Groundnut,7.95,5976.0,751.7,58,346608.0,
AP_ANP_00061,Kharif,2025,Foxtail Millet,1.07,516.9,483.1,45,23260.5,
AP_ANP_00061,Rabi,2025,Sunflower,2.13,1504.0,706.1,52,78208.0,
AP_ANP_00061,Summer,2025,Vegetables,7.97,51682.3,6484.6,18,930281.4,
AP_ANP_00062,Kharif,2025,Foxtail Millet,2.61,2284.3,875.2,45,102793.5,
AP_ANP_00062,Rabi,2025,Bengal Gram,7.18,4835.0,673.4,65,314275.0,
AP_ANP_00062,Summer,2025,Maize,5.15,10582.2,2054.8,20,211644.0,
AP_ANP_00063,Kharif,2025,Pearl Millet,3.41,2096.1,614.7,40,83844.0,
AP_ANP_00063,Rabi,2025,Maize,2.49,5529.5,2220.7,20,110590.0,
AP_ANP_00063,Summer,2025,Sunflower,2.45,2002.4,817.3,52,104124.8,
AP_ANP_00064,Kharif,2025,Groundnut,3.58,4016.4,1121.9,58,232951.2,
AP_ANP_00064,Rabi,2025,Bengal Gram,2.53,1214.1,479.9,65,78916.5,
AP_ANP_00064,Summer,2025,Groundnut,1.07,1453.5,1358.4,58,84303.0,
AP_ANP_00065,Kharif,2025,Foxtail Millet,7.39,3261.9,441.4,45,146785.5,
AP_ANP_00065,Rabi,2025,Sorghum,7.07,7362.0,1041.3,28,206136.0,
AP_ANP_00065,Summer,2025,Maize,1.74,4041.2,2322.5,20,80824.0,
AP_ANP_00066,Kharif,2025,Cotton,7.9,5453.4,690.3,70,381738.0,
AP_ANP_00066,Rabi,2025,Bengal Gram,4.96,3117.4,628.5,65,202631.0,
AP_ANP_00066,Summer,2025,Sunflower,7.77,8465.4,1089.5,52,440200.8,
AP_ANP_00067,Kharif,2025,Paddy,0.78,1550.2,1987.4,22,34104.4,
AP_ANP_00067,Rabi,2025,Bengal Gram,0.6,267.1,445.2,65,17361.5,
AP_ANP_00067,Summer,2025,Sunflower,5.69,4973.1,874.0,52,258601.2,
AP_ANP_00068,Kharif,2025,Paddy,4.89,13773.2,2816.6,22,303010.4,
AP_ANP_00068,Rabi,2025,Sunflower,6.18,4724.6,764.5,52,245679.2,
AP_ANP_00068,Summer,2025,Groundnut,2.31,1948.5,843.5,58,113013.0,
AP_ANP_00069,Kharif,2025,Groundnut,5.05,4343.0,860.0,58,251894.0,
AP_ANP_00069,Rabi,2025,Sunflower,5.54,5167.2,932.7,52,268694.4,
AP_ANP_00069,Summer,2025,Groundnut,3.19,2486.6,779.5,58,144222.8,
AP_ANP_00070,Kharif,2025,Red Gram,4.07,2912.9,715.7,82,238857.8,
AP_ANP_00070,Rabi,2025,Groundnut,2.81,3572.9,1271.5,58,207228.2,
AP_ANP_00070,Summer,2025,Sunflower,7.76,4360.3,561.9,52,226735.6,
AP_ANP_00071,Kharif,2025,Foxtail Millet,1.51,625.7,414.4,45,28156.5,
AP_ANP_00071,Rabi,2025,Bengal Gram,6.16,4756.8,772.2,65,309192.0,
AP_ANP_00071,Summer,2025,Groundnut,5.78,4907.8,849.1,58,284652.4,
AP_ANP_00072,Kharif,2025,Cotton,3.13,2986.0,954.0,70,209020.0,
AP_ANP_00072,Rabi,2025,Maize,3.44,8169.7,2374.9,20,163394.0,
AP_ANP_00072,Summer,2025,Sunflower,7.28,5414.9,743.8,52,281574.8,
AP_ANP_00073,Kharif,2025,Cotton,7.33,5708.6,778.8,70,399602.0,
AP_ANP_00073,Rabi,2025,Bengal Gram,4.43,3626.4,818.6,65,235716.0,
AP_ANP_00073,Summer,2025,Vegetables,6.47,34269.6,5296.7,18,616852.8,
AP_ANP_00074,Kharif,2025,Groundnut,2.44,2492.2,1021.4,58,144547.6,
AP_ANP_00074,Rabi,2025,Groundnut,7.85,8201.7,1044.8,58,475698.6,
AP_ANP_00074,Summer,2025,Groundnut,2.97,3395.9,1143.4,58,196962.2,
AP_ANP_00075,Kharif,2025,Foxtail Millet,1.47,682.1,464.0,45,30694.5,
AP_ANP_00075,Rabi,2025,Sunflower,1.64,979.4,597.2,52,50928.8,
AP_ANP_00075,Summer,2025,Maize,5.31,9896.8,1863.8,20,197936.0,
AP_ANP_00076,Kharif,2025,Groundnut,4.05,4727.6,1167.3,58,274200.8,
AP_ANP_00076,Rabi,2025,Sunflower,1.79,1135.9,634.6,52,59066.8,
AP_ANP_00076,Summer,2025,Vegetables,0.81,3114.2,3844.7,18,56055.6,
AP_ANP_00077,Kharif,2025,Pearl Millet,0.74,573.1,774.4,40,22924.0,
AP_ANP_00077,Rabi,2025,Groundnut,4.51,4280.9,949.2,58,248292.2,
AP_ANP_00077,Summer,2025,Groundnut,7.21,5696.6,790.1,58,330402.8,
AP_ANP_00078,Kharif,2025,Red Gram,0.79,552.8,699.7,82,45329.6,
AP_ANP_00078,Rabi,2025,Sorghum,5.21,3466.7,665.4,28,97067.6,
AP_ANP_00078,Summer,2025,Maize,7.05,23559.0,3341.7,20,471180.0,
AP_ANP_00079,Kharif,2025,Paddy,7.01,13447.3,1918.3,22,295840.6,
AP_ANP_00079,Rabi,2025,Bengal Gram,4.98,4939.2,991.8,65,321048.0,
AP_ANP_00079,Summer,2025,Sunflower,4.52,5183.5,1146.8,52,269542.0,
AP_ANP_00080,Kharif,2025,Cotton,3.27,2869.4,877.5,70,200858.0,
AP_ANP_00080,Rabi,2025,Groundnut,6.11,4434.0,725.7,58,257172.0,
AP_ANP_00080,Summer,2025,Vegetables,2.39,15694.4,6566.7,18,282499.2,
AP_ANP_00081,Kharif,2025,Cotton,0.73,817.8,1120.3,70,57246.0,
AP_ANP_00081,Rabi,2025,Sunflower,3.16,2458.5,778.0,52,127842.0,
AP_ANP_00081,Summer,2025,Maize,1.29,3837.5,2974.8,20,76750.0,
AP_ANP_00082,Kharif,2025,Pearl Millet,2.92,1768.6,605.7,40,70744.0,
AP_ANP_00082,Rabi,2025,Groundnut,2.96,2320.0,783.8,58,134560.0,
AP_ANP_00082,Summer,2025,Maize,7.18,19294.1,2687.2,20,385882.0,
AP_ANP_00083,Kharif,2025,Pearl Millet,5.37,3972.7,739.8,40,158908.0,
AP_ANP_00083,Rabi,2025,Groundnut,4.88,5933.1,1215.8,58,344119.8,
AP_ANP_00083,Summer,2025,Maize,4.68,12510.1,2673.1,20,250202.0,
AP_ANP_00084,Kharif,2025,Pearl Millet,2.63,1792.3,681.5,40,71692.0,
AP_ANP_00084,Rabi,2025,Sunflower,5.34,4803.3,899.5,52,249771.6,
AP_ANP_00084,Summer,2025,Sunflower,3.17,3774.2,1190.6,52,196258.4,
AP_ANP_00085,Kharif,2025,Paddy,0.56,1184.7,2115.5,22,26063.4,
AP_ANP_00085,Rabi,2025,Bengal Gram,3.24,2244.3,692.7,65,145879.5,
AP_ANP_00085,Summer,2025,Groundnut,6.88,5239.1,761.5,58,303867.8,
AP_ANP_00086,Kharif,2025,Cotton,0.89,543.7,610.9,70,38059.0,
AP_ANP_00086,Rabi,2025,Bengal Gram,5.73,5720.8,998.4,65,371852.0,
AP_ANP_00086,Summer,2025,Maize,7.22,19147.4,2652.0,20,382948.0,
AP_ANP_00087,Kharif,2025,Foxtail Millet,6.63,3507.3,529.0,45,157828.5,
AP_ANP_00087,Rabi,2025,Maize,1.78,5050.4,2837.3,20,101008.0,
AP_ANP_00087,Summer,2025,Maize,7.47,19522.8,2613.5,20,390456.0,
AP_ANP_00088,Kharif,2025,Red Gram,6.27,2467.2,393.5,82,202310.4,
AP_ANP_00088,Rabi,2025,Sunflower,2.93,2337.6,797.8,52,121555.2,
AP_ANP_00088,Summer,2025,Groundnut,4.31,3748.4,869.7,58,217407.2,
AP_ANP_00089,Kharif,2025,Groundnut,2.66,2944.4,1106.9,58,170775.2,
AP_ANP_00089,Rabi,2025,Groundnut,1.66,1721.1,1036.8,58,99823.8,
AP_ANP_00089,Summer,2025,Sunflower,4.49,2408.0,536.3,52,125216.0,
AP_ANP_00090,Kharif,2025,Red Gram,0.98,779.1,795.0,82,63886.2,
AP_ANP_00090,Rabi,2025,Groundnut,2.92,3699.3,1266.9,58,214559.4,
AP_ANP_00090,Summer,2025,Groundnut,2.41,2836.8,1177.1,58,164534.4,
AP_ANP_00091,Kharif,2025,Groundnut,4.05,4553.4,1124.3,58,264097.2,
AP_ANP_00091,Rabi,2025,Bengal Gram,6.46,2997.4,464.0,65,194831.0,
AP_ANP_00091,Summer,2025,Maize,6.88,20584.3,2991.9,20,411686.0,
AP_ANP_00092,Kharif,2025,Red Gram,7.93,3191.8,402.5,82,261727.6,
AP_ANP_00092,Rabi,2025,Sorghum,3.34,4479.6,1341.2,28,125428.8,
AP_ANP_00092,Summer,2025,Vegetables,5.91,19151.4,3240.5,18,344725.2,
AP_ANP_00093,Kharif,2025,Paddy,6.13,17895.9,2919.4,22,393709.8,
AP_ANP_00093,Rabi,2025,Sunflower,6.69,4218.0,630.5,52,219336.0,
AP_ANP_00093,Summer,2025,Groundnut,2.27,2596.0,1143.6,58,150568.0,
AP_ANP_00094,Kharif,2025,Cotton,7.08,5915.3,835.5,70,414071.0,
AP_ANP_00094,Rabi,2025,Maize,6.62,15744.3,2378.3,20,314886.0,
AP_ANP_00094,Summer,2025,Groundnut,3.33,3409.6,1023.9,58,197756.8,
AP_ANP_00095,Kharif,2025,Cotton,3.79,3587.2,946.5,70,251104.0,
AP_ANP_00095,Rabi,2025,Bengal Gram,3.17,2012.6,634.9,65,130819.0,
AP_ANP_00095,Summer,2025,Maize,4.49,7333.1,1633.2,20,146662.0,
AP_ANP_00096,Kharif,2025,Foxtail Millet,7.55,5389.9,713.9,45,242545.5,
AP_ANP_00096,Rabi,2025,Sunflower,3.01,1798.5,597.5,52,93522.0,
AP_ANP_00096,Summer,2025,Sunflower,6.46,6034.3,934.1,52,313783.6,
AP_ANP_00097,Kharif,2025,Pearl Millet,7.98,6992.1,876.2,40,279684.0,
AP_ANP_00097,Rabi,2025,Sunflower,5.8,6061.0,1045.0,52,315172.0,
AP_ANP_00097,Summer,2025,Vegetables,1.57,6315.6,4022.7,18,113680.8,
AP_ANP_00098,Kharif,2025,Red Gram,7.08,3334.7,471.0,82,273445.4,
AP_ANP_00098,Rabi,2025,Groundnut,6.66,5177.5,777.4,58,300295.0,
AP_ANP_00098,Summer,2025,Groundnut,6.85,5406.0,789.2,58,313548.0,
AP_ANP_00099,Kharif,2025,Paddy,2.22,6240.9,2811.2,22,137299.8,
AP_ANP_00099,Rabi,2025,Sorghum,5.9,6566.1,1112.9,28,183850.8,
AP_ANP_00099,Summer,2025,Groundnut,5.7,6155.4,1079.9,58,357013.2,
AP_ANP_00100,Kharif,2025,Foxtail Millet,6.7,5892.7,879.5,45,265171.5,
AP_ANP_00100,Rabi,2025,Sunflower,3.07,2023.4,659.1,52,105216.8,
AP_ANP_00100,Summer,2025,Groundnut,3.68,3317.9,901.6,58,192438.2,
AP_ANP_00101,Kharif,2025,Foxtail Millet,4.9,3199.2,652.9,45,143964.0,
AP_ANP_00101,Rabi,2025,Maize,5.09,7819.3,1536.2,20,156386.0,
AP_ANP_00101,Summer,2025,Sunflower,7.04,8113.6,1152.5,52,421907.2,
AP_ANP_00102,Kharif,2025,Pearl Millet,7.42,6333.7,853.6,40,253348.0,
AP_ANP_00102,Rabi,2025,Maize,1.64,4350.3,2652.6,20,87006.0,
AP_ANP_00102,Summer,2025,Groundnut,5.05,5034.3,996.9,58,291989.4,
AP_ANP_00103,Kharif,2025,Paddy,7.33,14454.0,1971.9,22,317988.0,
